Date,DJI_value(t-1),DJI_value(t-2),DJI_value(t-3),DJI_value(t-4),DJI_value(t-5),DJI_value(t-6),DJI_value(t-7),DJI_value(t-8),DJI_value(t-9),DJI_value(t-10),DJI_direction
21/7/2009,1,1,1,1,1,1,0,1,1,0,1
22/7/2009,1,1,1,1,1,1,1,0,1,1,0
23/7/2009,0,1,1,1,1,1,1,1,0,1,1
24/7/2009,1,0,1,1,1,1,1,1,1,0,1
27/7/2009,1,1,0,1,1,1,1,1,1,1,1
28/7/2009,1,1,1,0,1,1,1,1,1,1,0
29/7/2009,0,1,1,1,0,1,1,1,1,1,0
30/7/2009,0,0,1,1,1,0,1,1,1,1,1
31/7/2009,1,0,0,1,1,1,0,1,1,1,1
3/8/2009,1,1,0,0,1,1,1,0,1,1,1
4/8/2009,1,1,1,0,0,1,1,1,0,1,1
5/8/2009,1,1,1,1,0,0,1,1,1,0,0
6/8/2009,0,1,1,1,1,0,0,1,1,1,0
7/8/2009,0,0,1,1,1,1,0,0,1,1,1
10/8/2009,1,0,0,1,1,1,1,0,0,1,0
11/8/2009,0,1,0,0,1,1,1,1,0,0,0
12/8/2009,0,0,1,0,0,1,1,1,1,0,1
13/8/2009,1,0,0,1,0,0,1,1,1,1,1
14/8/2009,1,1,0,0,1,0,0,1,1,1,0
17/8/2009,0,1,1,0,0,1,0,0,1,1,0
18/8/2009,0,0,1,1,0,0,1,0,0,1,1
19/8/2009,1,0,0,1,1,0,0,1,0,0,1
20/8/2009,1,1,0,0,1,1,0,0,1,0,1
21/8/2009,1,1,1,0,0,1,1,0,0,1,1
24/8/2009,1,1,1,1,0,0,1,1,0,0,1
25/8/2009,1,1,1,1,1,0,0,1,1,0,1
26/8/2009,1,1,1,1,1,1,0,0,1,1,1
27/8/2009,1,1,1,1,1,1,1,0,0,1,1
28/8/2009,1,1,1,1,1,1,1,1,0,0,0
31/8/2009,0,1,1,1,1,1,1,1,1,0,0
1/9/2009,0,0,1,1,1,1,1,1,1,1,0
2/9/2009,0,0,0,1,1,1,1,1,1,1,0
3/9/2009,0,0,0,0,1,1,1,1,1,1,1
4/9/2009,1,0,0,0,0,1,1,1,1,1,1
8/9/2009,1,1,0,0,0,0,1,1,1,1,1
9/9/2009,1,1,1,0,0,0,0,1,1,1,1
10/9/2009,1,1,1,1,0,0,0,0,1,1,1
11/9/2009,1,1,1,1,1,0,0,0,0,1,0
14/9/2009,0,1,1,1,1,1,0,0,0,0,1
15/9/2009,1,0,1,1,1,1,1,0,0,0,1
16/9/2009,1,1,0,1,1,1,1,1,0,0,1
17/9/2009,1,1,1,0,1,1,1,1,1,0,0
18/9/2009,0,1,1,1,0,1,1,1,1,1,1
21/9/2009,1,0,1,1,1,0,1,1,1,1,0
